ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags,notes
2023-03-08T20:59:59-05:00,"Tuesday, Mar 7, 2023","Wednesday, Mar 8, 2023",2023-03-08 01:29:00,2023-03-08 10:23:00,08:54:00,00:39:00,00:00:00,1,08:15:00,07:39:00,92.7,92.5,05:30:08,05:25:19,02:30:00,02:09:54,51.2,52.9,68.4,69.7,53.0,49.6,104,98,60,62,,,,,,,,,
2023-03-09T20:59:59-05:00,"Wednesday, Mar 8, 2023","Thursday, Mar 9, 2023",2023-03-09 01:00:00,2023-03-09 09:40:00,08:40:00,00:08:00,00:00:00,1,08:32:00,07:52:51,98.5,93.3,05:35:22,05:28:05,02:19:38,02:11:36,55.8,53.7,,,52.0,48.7,221,115,104,65,,,,,,,,,
2023-03-11T20:59:59-05:00,"Friday, Mar 10, 2023","Saturday, Mar 11, 2023",2023-03-11 01:45:00,2023-03-11 09:29:00,07:44:00,00:41:00,00:00:00,1,07:03:00,07:40:17,91.2,93.5,04:25:35,05:14:18,01:42:06,02:06:17,52.3,53.2,60.8,69.2,47.0,48.6,113,122,81,69,,,,,,,,,
2023-03-12T21:59:59-04:00,"Saturday, Mar 11, 2023","Sunday, Mar 12, 2023",2023-03-12 03:29:00,2023-03-12 12:08:00,08:39:00,00:23:00,00:00:00,1,08:16:00,07:38:17,95.6,93.9,06:16:39,05:14:17,00:48:00,01:50:22,58.0,54.1,74.0,68.5,53.0,48.9,139,134,57,71,,,,,,,,,
2023-03-13T20:59:59-04:00,"Sunday, Mar 12, 2023","Monday, Mar 13, 2023",2023-03-13 00:21:00,2023-03-13 10:00:00,09:39:00,00:29:00,00:00:00,1,09:10:00,08:06:25,95.0,94.2,05:46:07,05:29:08,02:37:09,01:56:46,46.9,52.1,60.4,66.2,45.0,47.9,103,140,51,73,,,,,,,,,
2023-03-14T20:59:59-04:00,"Monday, Mar 13, 2023","Tuesday, Mar 14, 2023",2023-03-14 01:45:00,2023-03-14 09:56:00,08:11:00,00:36:00,00:00:00,1,07:35:00,08:17:51,92.7,94.6,06:23:19,05:45:19,03:55:21,02:19:14,47.1,51.6,65.0,66.7,46.0,48.9,113,136,64,71,,,,,,,,,
2023-03-15T20:59:59-04:00,"Tuesday, Mar 14, 2023","Wednesday, Mar 15, 2023",2023-03-15 02:28:00,2023-03-15 10:46:00,08:18:00,00:58:00,00:00:00,1,07:20:00,08:01:34,88.4,93.4,05:01:29,05:34:06,02:01:23,02:16:13,48.8,51.4,69.3,67.6,52.0,49.7,226,146,135,79,,,,,,,,,
2023-03-16T20:59:59-04:00,"Wednesday, Mar 15, 2023","Thursday, Mar 16, 2023",2023-03-16 00:43:00,2023-03-16 10:30:00,09:47:00,00:12:00,00:00:00,1,09:35:00,08:13:00,98.0,94.2,07:21:41,05:50:02,03:31:51,02:25:04,48.0,51.0,69.6,67.7,50.0,49.3,326,177,131,89,,,,,,,,,
2023-03-17T20:59:59-04:00,"Thursday, Mar 16, 2023","Friday, Mar 17, 2023",2023-03-17 01:52:00,2023-03-17 08:30:00,06:38:00,00:42:00,00:00:00,1,05:56:00,07:50:42,89.4,92.9,04:55:00,05:44:16,02:41:49,02:28:14,50.8,50.3,82.1,68.7,46.0,48.4,217,177,109,90,,,,,,,,,
2023-03-18T20:59:59-04:00,"Friday, Mar 17, 2023","Saturday, Mar 18, 2023",2023-03-18 00:30:00,2023-03-18 09:42:00,09:12:00,02:31:00,00:00:00,1,06:41:00,07:47:34,72.6,90.2,04:30:02,05:44:54,01:17:07,02:24:40,61.3,51.6,76.6,71.0,57.0,49.9,161,183,74,89,,,,,,,,,
